,id,product_title,product_uid,relevance,search_term,product_description,brand,product_info,len_of_query,len_of_title,len_of_description,len_of_brand,query_in_title,query_in_description,query_last_word_in_title,query_last_word_in_description,word_in_title,word_in_description,ratio_title,ratio_description,attr,word_in_brand,ratio_brand,brand_feature,search_term_feature
0,2,simpson strong tie 12 gaug angl,100001,3.0,angl bracket,"not onli do angl make joint stronger they also provid more consist straight corner simpson strong tie offer a wide varieti of angl in various size and thick to handl light duti job or project where a structur connect is need some can be bent (skewed) to match the project for outdoor project or those where moistur is present use our zmax zinc coat connector which provid extra resist against corros (look for a ""z"" at the end of the model number) versatil connector for various 90 connect and home repair projectsstrong than angl nail or screw fasten alonehelp ensur joint are consist straight and strongdimensions: 3in. xbi 3in. xbi 1 12in. made from 12 gaug steelgalvan for extra corros resistanceinstal with 10 d common nail or #9 xbi 1 12in. strong drive sd screw",simpson strong tie,"angl bracket	simpson strong tie 12 gaug angl	not onli do angl make joint stronger they also provid more consist straight corner simpson strong tie offer a wide varieti of angl in various size and thick to handl light duti job or project where a structur connect is need some can be bent (skewed) to match the project for outdoor project or those where moistur is present use our zmax zinc coat connector which provid extra resist against corros (look for a ""z"" at the end of the model number) versatil connector for various 90 connect and home repair projectsstrong than angl nail or screw fasten alonehelp ensur joint are consist straight and strongdimensions: 3in. xbi 3in. xbi 1 12in. made from 12 gaug steelgalvan for extra corros resistanceinstal with 10 d common nail or #9 xbi 1 12in. strong drive sd screw",2,6,135,3,0,0,0,0,1,1,0.5,0.5,angl bracket	simpson strong tie,0,0.0,1000,12
1,3,simpson strong tie 12 gaug angl,100001,2.5,l bracket,"not onli do angl make joint stronger they also provid more consist straight corner simpson strong tie offer a wide varieti of angl in various size and thick to handl light duti job or project where a structur connect is need some can be bent (skewed) to match the project for outdoor project or those where moistur is present use our zmax zinc coat connector which provid extra resist against corros (look for a ""z"" at the end of the model number) versatil connector for various 90 connect and home repair projectsstrong than angl nail or screw fasten alonehelp ensur joint are consist straight and strongdimensions: 3in. xbi 3in. xbi 1 12in. made from 12 gaug steelgalvan for extra corros resistanceinstal with 10 d common nail or #9 xbi 1 12in. strong drive sd screw",simpson strong tie,"l bracket	simpson strong tie 12 gaug angl	not onli do angl make joint stronger they also provid more consist straight corner simpson strong tie offer a wide varieti of angl in various size and thick to handl light duti job or project where a structur connect is need some can be bent (skewed) to match the project for outdoor project or those where moistur is present use our zmax zinc coat connector which provid extra resist against corros (look for a ""z"" at the end of the model number) versatil connector for various 90 connect and home repair projectsstrong than angl nail or screw fasten alonehelp ensur joint are consist straight and strongdimensions: 3in. xbi 3in. xbi 1 12in. made from 12 gaug steelgalvan for extra corros resistanceinstal with 10 d common nail or #9 xbi 1 12in. strong drive sd screw",2,6,135,3,0,0,0,0,1,1,0.5,0.5,l bracket	simpson strong tie,0,0.0,1000,9
2,9,behr premium textur deckov 1gal. #sc 141 tugboat wood and concret coat,100002,3.0,deck over,behr premium textur deckov is an innov solid color coat it will bring your old weather wood or concret back to life the advanc 100% acryl resin formula creat a durabl coat for your tire and worn out deck rejuven to a whole new look for the best result be sure to proper prepar the surfac use other applic behr product display abov california residents: see&nbsp;proposit 65in. formationrev wood and composit deck rail porch and boat dock also great for concret pool deck patio and sidewalk 100% acryl solid color coatingresist crack and peel and conceal splinter and crack up to 14in. provid a durabl mildew resist finishcov up to 75sq.ft. in 2 coat per galloncr a textur slip resist finishfor best result prepar with the appropri behr product for your wood or concret surfaceactu paint color may vari from on screen and printer representationscolor avail to be tint in most storesonlin price includ paint care fee in the follow states: ca co ct me mn or ri vt,behr premium textur deckov,deck over	behr premium textur deckov 1gal. #sc 141 tugboat wood and concret coat	behr premium textur deckov is an innov solid color coat it will bring your old weather wood or concret back to life the advanc 100% acryl resin formula creat a durabl coat for your tire and worn out deck rejuven to a whole new look for the best result be sure to proper prepar the surfac use other applic behr product display abov california residents: see&nbsp;proposit 65in. formationrev wood and composit deck rail porch and boat dock also great for concret pool deck patio and sidewalk 100% acryl solid color coatingresist crack and peel and conceal splinter and crack up to 14in. provid a durabl mildew resist finishcov up to 75sq.ft. in 2 coat per galloncr a textur slip resist finishfor best result prepar with the appropri behr product for your wood or concret surfaceactu paint color may vari from on screen and printer representationscolor avail to be tint in most storesonlin price includ paint care fee in the follow states: ca co ct me mn or ri vt,2,12,169,4,0,0,0,0,1,1,0.5,0.5,deck over	behr premium textur deckov,1,0.25,1003,9
3,16,delta vero 1 handl shower onli faucet trim kit in chrome (valv not included),100005,2.33,rain shower head,updat your bathroom with the delta vero singl handl shower faucet trim kit in chrome it has a sleek modern and minimalist aesthet the multichoic univers valv keep the water temperatur within + 3deg. fahrenheit to help prevent scald california residents: see&nbsp;proposit 65in. formationinclud the trim kit onli the rough in kit (r 10000 unbx) is sold separatelyinclud the handlemaintain a balanc pressur of hot and cold water even when a valv is turn on or off elsewher in the systemdu to watersens regul in the state of new york pleas confirm your ship zip code is not restrict from use of item that do not meet watersens qualif,delta,rain shower head	delta vero 1 handl shower onli faucet trim kit in chrome (valv not included)	updat your bathroom with the delta vero singl handl shower faucet trim kit in chrome it has a sleek modern and minimalist aesthet the multichoic univers valv keep the water temperatur within + 3deg. fahrenheit to help prevent scald california residents: see&nbsp;proposit 65in. formationinclud the trim kit onli the rough in kit (r 10000 unbx) is sold separatelyinclud the handlemaintain a balanc pressur of hot and cold water even when a valv is turn on or off elsewher in the systemdu to watersens regul in the state of new york pleas confirm your ship zip code is not restrict from use of item that do not meet watersens qualif,3,14,109,1,0,0,0,0,1,1,0.3333333333333333,0.3333333333333333,rain shower head	delta,0,0.0,1006,16
4,17,delta vero 1 handl shower onli faucet trim kit in chrome (valv not included),100005,2.67,shower onli faucet,updat your bathroom with the delta vero singl handl shower faucet trim kit in chrome it has a sleek modern and minimalist aesthet the multichoic univers valv keep the water temperatur within + 3deg. fahrenheit to help prevent scald california residents: see&nbsp;proposit 65in. formationinclud the trim kit onli the rough in kit (r 10000 unbx) is sold separatelyinclud the handlemaintain a balanc pressur of hot and cold water even when a valv is turn on or off elsewher in the systemdu to watersens regul in the state of new york pleas confirm your ship zip code is not restrict from use of item that do not meet watersens qualif,delta,shower onli faucet	delta vero 1 handl shower onli faucet trim kit in chrome (valv not included)	updat your bathroom with the delta vero singl handl shower faucet trim kit in chrome it has a sleek modern and minimalist aesthet the multichoic univers valv keep the water temperatur within + 3deg. fahrenheit to help prevent scald california residents: see&nbsp;proposit 65in. formationinclud the trim kit onli the rough in kit (r 10000 unbx) is sold separatelyinclud the handlemaintain a balanc pressur of hot and cold water even when a valv is turn on or off elsewher in the systemdu to watersens regul in the state of new york pleas confirm your ship zip code is not restrict from use of item that do not meet watersens qualif,3,14,109,1,1,0,1,1,3,3,1.0,1.0,shower onli faucet	delta,0,0.0,1006,18
5,18,whirlpool 1.9cu.ft. over the rang convect microwav in stainless steel with sensor cook,100006,3.0,convect otr,achiev delici result is almost effortless with this whirlpool over the rang microwav hood with convect cook with 1.9cu.ft. capac you'll have room to prepar multipl dish at onc and you won't have to micro manag the cook process thank to the sensor cook option sensor cook track cook progress and automat adjust cook time convect roast and bake allow you to bake cake bread cooki and roast meat with eas clean up is simpl too with the industri lead cleanreleas non stick interior surfac it easili releas cook on food without the use of harsh chemic a damp cloth or spong is all that is need to remov cook on spill and splash california residents: see&nbsp;proposit 65in. formationspaci 1.9cu.ft. capac accommod dinner plate and casserol dish with eas 1100watt. of cook power and 10 cook level make cook and reheat a snap 400 cfm vent system whisk smoke steam and odor away from the cooktop to keep your kitchen air clearsingl piec door with built in touch activ control consol streamlin the exterior for a sleek modern look and easi cleanupcook with confid with the sensor and program cook cycl and option sensor cycl include: steamsimm accupop and potato for fast prep of famili favoriteskid menu: it simpl it fast the kid menu is preset with cook time and power level for a varieti of favorit like pizza and chicken nugget now after school snack don't have to be an afternoon hassletimesavor plus true convect cook use a 1600watt. element and a fan to circul heat over under and around food for fast cook and even browningindustri lead cleanreleas non stick interior requir no special cleaner a damp cloth or spong is all that need to remov cook on spill and splashesrecess turntabl onoff featur is especi help when cook with plate that are larger than the turntableautomat interior incandesc light and larg window help you track cook progress 4 speed fan with auto vent fan function to keep the microwav oven from overh the vent fan will automat turn on at high speed if the temperatur from the rang or cooktop below the microwav oven get too hotreplac charcoal and dishwash safe mesh filter take greas and other impur out of the air 90 hing with this innov hing design you can instal this model next to a wall and still open the door easilylimit 1 year warrantyconvert vent can be instal as vent or non vent (recirculating) to fit a varieti of instal needsaccupop cycl sens the perfect pop everi time it adapt cook time use a sound sensor that measur the time between pop so you don't have to worri about bag size or excess unpop kernel now you can final watch the movi not the microwaveinclud items: convect rack suremist steamer and cook rack includ cook rack let you microwav on 2 level so you can cook sever item at onceclick here for detail on the servic includ with deliveri & basic hook up and instal option for this product,whirlpool,convect otr	whirlpool 1.9cu.ft. over the rang convect microwav in stainless steel with sensor cook	achiev delici result is almost effortless with this whirlpool over the rang microwav hood with convect cook with 1.9cu.ft. capac you'll have room to prepar multipl dish at onc and you won't have to micro manag the cook process thank to the sensor cook option sensor cook track cook progress and automat adjust cook time convect roast and bake allow you to bake cake bread cooki and roast meat with eas clean up is simpl too with the industri lead cleanreleas non stick interior surfac it easili releas cook on food without the use of harsh chemic a damp cloth or spong is all that is need to remov cook on spill and splash california residents: see&nbsp;proposit 65in. formationspaci 1.9cu.ft. capac accommod dinner plate and casserol dish with eas 1100watt. of cook power and 10 cook level make cook and reheat a snap 400 cfm vent system whisk smoke steam and odor away from the cooktop to keep your kitchen air clearsingl piec door with built in touch activ control consol streamlin the exterior for a sleek modern look and easi cleanupcook with confid with the sensor and program cook cycl and option sensor cycl include: steamsimm accupop and potato for fast prep of famili favoriteskid menu: it simpl it fast the kid menu is preset with cook time and power level for a varieti of favorit like pizza and chicken nugget now after school snack don't have to be an afternoon hassletimesavor plus true convect cook use a 1600watt. element and a fan to circul heat over under and around food for fast cook and even browningindustri lead cleanreleas non stick interior requir no special cleaner a damp cloth or spong is all that need to remov cook on spill and splashesrecess turntabl onoff featur is especi help when cook with plate that are larger than the turntableautomat interior incandesc light and larg window help you track cook progress 4 speed fan with auto vent fan function to keep the microwav oven from overh the vent fan will automat turn on at high speed if the temperatur from the rang or cooktop below the microwav oven get too hotreplac charcoal and dishwash safe mesh filter take greas and other impur out of the air 90 hing with this innov hing design you can instal this model next to a wall and still open the door easilylimit 1 year warrantyconvert vent can be instal as vent or non vent (recirculating) to fit a varieti of instal needsaccupop cycl sens the perfect pop everi time it adapt cook time use a sound sensor that measur the time between pop so you don't have to worri about bag size or excess unpop kernel now you can final watch the movi not the microwaveinclud items: convect rack suremist steamer and cook rack includ cook rack let you microwav on 2 level so you can cook sever item at onceclick here for detail on the servic includ with deliveri & basic hook up and instal option for this product,2,13,505,1,0,0,0,1,1,2,0.5,1.0,convect otr	whirlpool,0,0.0,1009,11
6,20,whirlpool 1.9cu.ft. over the rang convect microwav in stainless steel with sensor cook,100006,2.67,microwav over stove,achiev delici result is almost effortless with this whirlpool over the rang microwav hood with convect cook with 1.9cu.ft. capac you'll have room to prepar multipl dish at onc and you won't have to micro manag the cook process thank to the sensor cook option sensor cook track cook progress and automat adjust cook time convect roast and bake allow you to bake cake bread cooki and roast meat with eas clean up is simpl too with the industri lead cleanreleas non stick interior surfac it easili releas cook on food without the use of harsh chemic a damp cloth or spong is all that is need to remov cook on spill and splash california residents: see&nbsp;proposit 65in. formationspaci 1.9cu.ft. capac accommod dinner plate and casserol dish with eas 1100watt. of cook power and 10 cook level make cook and reheat a snap 400 cfm vent system whisk smoke steam and odor away from the cooktop to keep your kitchen air clearsingl piec door with built in touch activ control consol streamlin the exterior for a sleek modern look and easi cleanupcook with confid with the sensor and program cook cycl and option sensor cycl include: steamsimm accupop and potato for fast prep of famili favoriteskid menu: it simpl it fast the kid menu is preset with cook time and power level for a varieti of favorit like pizza and chicken nugget now after school snack don't have to be an afternoon hassletimesavor plus true convect cook use a 1600watt. element and a fan to circul heat over under and around food for fast cook and even browningindustri lead cleanreleas non stick interior requir no special cleaner a damp cloth or spong is all that need to remov cook on spill and splashesrecess turntabl onoff featur is especi help when cook with plate that are larger than the turntableautomat interior incandesc light and larg window help you track cook progress 4 speed fan with auto vent fan function to keep the microwav oven from overh the vent fan will automat turn on at high speed if the temperatur from the rang or cooktop below the microwav oven get too hotreplac charcoal and dishwash safe mesh filter take greas and other impur out of the air 90 hing with this innov hing design you can instal this model next to a wall and still open the door easilylimit 1 year warrantyconvert vent can be instal as vent or non vent (recirculating) to fit a varieti of instal needsaccupop cycl sens the perfect pop everi time it adapt cook time use a sound sensor that measur the time between pop so you don't have to worri about bag size or excess unpop kernel now you can final watch the movi not the microwaveinclud items: convect rack suremist steamer and cook rack includ cook rack let you microwav on 2 level so you can cook sever item at onceclick here for detail on the servic includ with deliveri & basic hook up and instal option for this product,whirlpool,microwav over stove	whirlpool 1.9cu.ft. over the rang convect microwav in stainless steel with sensor cook	achiev delici result is almost effortless with this whirlpool over the rang microwav hood with convect cook with 1.9cu.ft. capac you'll have room to prepar multipl dish at onc and you won't have to micro manag the cook process thank to the sensor cook option sensor cook track cook progress and automat adjust cook time convect roast and bake allow you to bake cake bread cooki and roast meat with eas clean up is simpl too with the industri lead cleanreleas non stick interior surfac it easili releas cook on food without the use of harsh chemic a damp cloth or spong is all that is need to remov cook on spill and splash california residents: see&nbsp;proposit 65in. formationspaci 1.9cu.ft. capac accommod dinner plate and casserol dish with eas 1100watt. of cook power and 10 cook level make cook and reheat a snap 400 cfm vent system whisk smoke steam and odor away from the cooktop to keep your kitchen air clearsingl piec door with built in touch activ control consol streamlin the exterior for a sleek modern look and easi cleanupcook with confid with the sensor and program cook cycl and option sensor cycl include: steamsimm accupop and potato for fast prep of famili favoriteskid menu: it simpl it fast the kid menu is preset with cook time and power level for a varieti of favorit like pizza and chicken nugget now after school snack don't have to be an afternoon hassletimesavor plus true convect cook use a 1600watt. element and a fan to circul heat over under and around food for fast cook and even browningindustri lead cleanreleas non stick interior requir no special cleaner a damp cloth or spong is all that need to remov cook on spill and splashesrecess turntabl onoff featur is especi help when cook with plate that are larger than the turntableautomat interior incandesc light and larg window help you track cook progress 4 speed fan with auto vent fan function to keep the microwav oven from overh the vent fan will automat turn on at high speed if the temperatur from the rang or cooktop below the microwav oven get too hotreplac charcoal and dishwash safe mesh filter take greas and other impur out of the air 90 hing with this innov hing design you can instal this model next to a wall and still open the door easilylimit 1 year warrantyconvert vent can be instal as vent or non vent (recirculating) to fit a varieti of instal needsaccupop cycl sens the perfect pop everi time it adapt cook time use a sound sensor that measur the time between pop so you don't have to worri about bag size or excess unpop kernel now you can final watch the movi not the microwaveinclud items: convect rack suremist steamer and cook rack includ cook rack let you microwav on 2 level so you can cook sever item at onceclick here for detail on the servic includ with deliveri & basic hook up and instal option for this product,3,13,505,1,0,0,0,0,2,2,0.6666666666666666,0.6666666666666666,microwav over stove	whirlpool,0,0.0,1009,19
7,21,whirlpool 1.9cu.ft. over the rang convect microwav in stainless steel with sensor cook,100006,3.0,microwav,achiev delici result is almost effortless with this whirlpool over the rang microwav hood with convect cook with 1.9cu.ft. capac you'll have room to prepar multipl dish at onc and you won't have to micro manag the cook process thank to the sensor cook option sensor cook track cook progress and automat adjust cook time convect roast and bake allow you to bake cake bread cooki and roast meat with eas clean up is simpl too with the industri lead cleanreleas non stick interior surfac it easili releas cook on food without the use of harsh chemic a damp cloth or spong is all that is need to remov cook on spill and splash california residents: see&nbsp;proposit 65in. formationspaci 1.9cu.ft. capac accommod dinner plate and casserol dish with eas 1100watt. of cook power and 10 cook level make cook and reheat a snap 400 cfm vent system whisk smoke steam and odor away from the cooktop to keep your kitchen air clearsingl piec door with built in touch activ control consol streamlin the exterior for a sleek modern look and easi cleanupcook with confid with the sensor and program cook cycl and option sensor cycl include: steamsimm accupop and potato for fast prep of famili favoriteskid menu: it simpl it fast the kid menu is preset with cook time and power level for a varieti of favorit like pizza and chicken nugget now after school snack don't have to be an afternoon hassletimesavor plus true convect cook use a 1600watt. element and a fan to circul heat over under and around food for fast cook and even browningindustri lead cleanreleas non stick interior requir no special cleaner a damp cloth or spong is all that need to remov cook on spill and splashesrecess turntabl onoff featur is especi help when cook with plate that are larger than the turntableautomat interior incandesc light and larg window help you track cook progress 4 speed fan with auto vent fan function to keep the microwav oven from overh the vent fan will automat turn on at high speed if the temperatur from the rang or cooktop below the microwav oven get too hotreplac charcoal and dishwash safe mesh filter take greas and other impur out of the air 90 hing with this innov hing design you can instal this model next to a wall and still open the door easilylimit 1 year warrantyconvert vent can be instal as vent or non vent (recirculating) to fit a varieti of instal needsaccupop cycl sens the perfect pop everi time it adapt cook time use a sound sensor that measur the time between pop so you don't have to worri about bag size or excess unpop kernel now you can final watch the movi not the microwaveinclud items: convect rack suremist steamer and cook rack includ cook rack let you microwav on 2 level so you can cook sever item at onceclick here for detail on the servic includ with deliveri & basic hook up and instal option for this product,whirlpool,microwav	whirlpool 1.9cu.ft. over the rang convect microwav in stainless steel with sensor cook	achiev delici result is almost effortless with this whirlpool over the rang microwav hood with convect cook with 1.9cu.ft. capac you'll have room to prepar multipl dish at onc and you won't have to micro manag the cook process thank to the sensor cook option sensor cook track cook progress and automat adjust cook time convect roast and bake allow you to bake cake bread cooki and roast meat with eas clean up is simpl too with the industri lead cleanreleas non stick interior surfac it easili releas cook on food without the use of harsh chemic a damp cloth or spong is all that is need to remov cook on spill and splash california residents: see&nbsp;proposit 65in. formationspaci 1.9cu.ft. capac accommod dinner plate and casserol dish with eas 1100watt. of cook power and 10 cook level make cook and reheat a snap 400 cfm vent system whisk smoke steam and odor away from the cooktop to keep your kitchen air clearsingl piec door with built in touch activ control consol streamlin the exterior for a sleek modern look and easi cleanupcook with confid with the sensor and program cook cycl and option sensor cycl include: steamsimm accupop and potato for fast prep of famili favoriteskid menu: it simpl it fast the kid menu is preset with cook time and power level for a varieti of favorit like pizza and chicken nugget now after school snack don't have to be an afternoon hassletimesavor plus true convect cook use a 1600watt. element and a fan to circul heat over under and around food for fast cook and even browningindustri lead cleanreleas non stick interior requir no special cleaner a damp cloth or spong is all that need to remov cook on spill and splashesrecess turntabl onoff featur is especi help when cook with plate that are larger than the turntableautomat interior incandesc light and larg window help you track cook progress 4 speed fan with auto vent fan function to keep the microwav oven from overh the vent fan will automat turn on at high speed if the temperatur from the rang or cooktop below the microwav oven get too hotreplac charcoal and dishwash safe mesh filter take greas and other impur out of the air 90 hing with this innov hing design you can instal this model next to a wall and still open the door easilylimit 1 year warrantyconvert vent can be instal as vent or non vent (recirculating) to fit a varieti of instal needsaccupop cycl sens the perfect pop everi time it adapt cook time use a sound sensor that measur the time between pop so you don't have to worri about bag size or excess unpop kernel now you can final watch the movi not the microwaveinclud items: convect rack suremist steamer and cook rack includ cook rack let you microwav on 2 level so you can cook sever item at onceclick here for detail on the servic includ with deliveri & basic hook up and instal option for this product,1,13,505,1,1,5,1,1,1,1,1.0,1.0,microwav	whirlpool,0,0.0,1009,8
8,23,lithonia light quantum 2 light black led emerg fixtur unit,100007,2.67,emerg light,the quantum adjust 2 light led black emerg light unit from lithonia light provid a minimum of 90 minut of illumin upon loss of power adjust the direct of light use the uniqu track and swivel design of the 2 head this unit is ideal for applic requir attract equip with quick instal advanc led technolog is depend and energi effici 2 adjust head allow you to direct light where it is neededengin grade thermoplast hous is impact resist scratch resist and corros proofintegr led mean no bulb are requiredtyp life of the led is 10 year of mainten free operationblack hous has a compact low profil designs mainten free ni cad batteri deliv 90 minut capac to the ledsdual voltag input capabl (120 to 277volt. )easili instal to wall or ceilingul damp locat list,lithonia light,emerg light	lithonia light quantum 2 light black led emerg fixtur unit	the quantum adjust 2 light led black emerg light unit from lithonia light provid a minimum of 90 minut of illumin upon loss of power adjust the direct of light use the uniqu track and swivel design of the 2 head this unit is ideal for applic requir attract equip with quick instal advanc led technolog is depend and energi effici 2 adjust head allow you to direct light where it is neededengin grade thermoplast hous is impact resist scratch resist and corros proofintegr led mean no bulb are requiredtyp life of the led is 10 year of mainten free operationblack hous has a compact low profil designs mainten free ni cad batteri deliv 90 minut capac to the ledsdual voltag input capabl (120 to 277volt. )easili instal to wall or ceilingul damp locat list,2,10,135,2,0,1,1,1,2,2,1.0,1.0,emerg light	lithonia light,1,0.5,1012,11
9,27,hous of fara 34in. xbi 3in. xbi 8ft. mdf flute case,100009,3.0,mdf 34,get the hous of fara 34in. xbi 3in. xbi 8ft. mdf flute case to add an eleg look to a room it pre prime surfac is free of knot readi to be paint to match your decor it cut and instal easili for a qualiti look when finish it uniqu detail will add an architectur touch to ani room or project california residents: see&nbsp;proposit 65in. formationmad of prime mdfcan be paint to match your decorresist to moisturefor interior use 96in. length,hous of fara,mdf 34	hous of fara 34in. xbi 3in. xbi 8ft. mdf flute case	get the hous of fara 34in. xbi 3in. xbi 8ft. mdf flute case to add an eleg look to a room it pre prime surfac is free of knot readi to be paint to match your decor it cut and instal easili for a qualiti look when finish it uniqu detail will add an architectur touch to ani room or project california residents: see&nbsp;proposit 65in. formationmad of prime mdfcan be paint to match your decorresist to moisturefor interior use 96in. length,2,11,81,3,0,0,1,1,2,2,1.0,1.0,mdf 34	hous of fara,0,0.0,1015,6
